,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
32,video,Helene's Aftermath - 96 Hours in Asheville,WBIR Channel 10,"On September 30, 2024, WBIR sent crews to Asheville to cover what happened to Western North Carolina after Hurricane Helene.
They spent a total of 96 hours on the ground.
These are the stories...",554112,2024-10-11,24:27,CA,2024-10-13
33,video,I Bought Every Drill Brand and Made Them Fight,John Malecki Unscrewed,"I Bought 16 Drills and Made Them Fight
Remove your personal information from the web at https://joindeleteme.com/unscrewed
Use code Unscrewed for 20% off

Grab Yourself a Pair of the BEST Safety...",325732,2024-10-11,25:52,CA,2024-10-13
34,video,Port Antonio,J. Cole,,3992185,2024-10-10,5:17,CA,2024-10-13
35,video,GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),theofficialGloRilla,"Stream “GLORIOUS” Out Everywhere: https://glorilla.lnk.to/Glorious

Follow #GloRilla: 

Instagram: https://www.instagram.com/glorillapimp/
Twitter: https://twitter.com/GloTheofficial
TikTok:...",2175730,2024-10-11,2:47,CA,2024-10-13
36,video,DAISIES (A Hazbin Hotel Song) - Black Gryph0n & Baasik,Black Gryph0n,"STREAM #Daisies ON SPOTIFY: https://open.spotify.com/track/6IvI2Il2AdSHp9lmAIKzM7?si=E6I09GGBT9yoKQ_6_Tuvjg&context=spotify%3Aalbum%3A7ukohaVDbB4HQMultWmC2M

And EVERYWHERE ELSE: https://ffm.to/bgb...",551360,2024-10-12,2:23,CA,2024-10-13
37,video,Tesla Robotaxi Ride-Along (Unedited),Auto Focus,"Riding along in the Tesla Robotaxi at the unveiling event. Shot on Phone 16 Pro

Full video coming soon",541098,2024-10-11,3:33,CA,2024-10-13
38,video,Fortnitemares All Bosses & Mythic Weapons Locations Guide (2024),EveryDay FN,"Fortnite Chapter 5 Season 4 Absolute Doom - Fortnitemares 2024 Event Update - Mythic Broom, Billy Boom, Wood Stake Shotgun & More - All Secret Halloween Map Update Changes - New Season 4 Storyline...",222813,2024-10-12,3:01,CA,2024-10-13
39,video,We've Just Found a New Type of Star and It's Terrifying,Thoughty2,"Get started with Odoo for free today: https://www.odoo.com/r/2e7

Thoughty2 Patreon & Discord: https://www.patreon.com/thoughty2
Thoughty2 Audiobook: https://geni.us/t2audio
Thoughty2 Book:...",345604,2024-10-12,14:38,CA,2024-10-13
40,video,VENEZUELA vs. ARGENTINA [1-1] | RESUMEN | ELIMINATORIAS SUDAMERICANAS | FECHA 9,CONMEBOL,"#Venezuela #Argentina #eliminatoriassudamericanas #CreeEnGrande #CONMEBOL 

¡Empate en Maturín entre Venezuela y Argentina! 🤝🇻🇪🇦🇷

La Albiceleste y la Vinotinto se repartieron...",3987724,2024-10-11,10:09,CA,2024-10-13
41,video,HUGE Magnet VS Copper Sphere - Defying Gravity- Will a Neodymium Magnet Float Inside?,Robinson Foundry,"In this video, I test the interaction between a neodymium magnet and a copper sphere using the principles of Lenz’s Law. By experimenting with this setup, I explore whether a magnet can float...",1287285,2024-10-11,13:06,CA,2024-10-13
42,video,2000 Pound Table,Blacktail Studio,"Attempting to build my biggest project yet. A giant timber-framed table with built-in benches. Made with mortise and tenon joinery, half-lap joints, and lots of wood pegs. 
Sandpaper Storage...",950498,2024-10-11,46:50,CA,2024-10-13
43,video,THE HATE ON MY MUSIC IS FORCED,JJ Olatunji,"KSI - Thick Of It (feat. Trippie Redd) 
Listen Now: https://lnk.to/Thickofit_Low

SEND CLIPS AND IDEAS USING #ksitntl #ksireacts on X, TikTok and Instagram. 

KSI X/Twitter Community: https://x.com...",3669064,2024-10-10,19:27,CA,2024-10-13
44,video,SURVIVING HURRICANE MILTON - A DEVASTATING STORM EXPERIENCE,Trev and Chels,"Hurricane Milton is the second major hurricane to strike Florida in two weeks, aggressively spinning up to a Category 5 storm in the Gulf of Mexico before making landfall in Sarasota Wednesday...",920025,2024-10-11,39:29,CA,2024-10-13
45,video,The Weather Is About To Change A LOT...,Max Velocity - Severe Weather Center,"Please consider donating today to support those in need: https://theyallsquad.org/maxvelocity

In this forecast, we are breaking down a COLD BLAST that will impact the United States next week....",1505504,2024-10-11,9:01,CA,2024-10-13
46,video,"Dax - ""Lonely Dirt Road"" (Official Music Video)",Dax,"[LYRICS BELOW] ""Lonely Dirt Road"" is a personal song i wrote. Share this with everyone and anyone and let's make an impact. Somebody out there needs this. Love y'all...Thank you.

Click here...",517573,2024-10-12,4:07,CA,2024-10-13
47,video,12 Unspoken Rules NOT to Break in Japan,Abroad in Japan,"12 Things to Avoid Doing in Japan that are often overlooked and typically unspoken.
🎃🍡 Use Code “ABROAD” to get $5 off your first #Sakuraco box https://team.sakura.co/abroadinjapan-SC2409...",877327,2024-10-11,25:53,CA,2024-10-13
48,video,Childhood Video Games,Degenerocity,"Break up with basic browsers. Get Opera GX using my link: https://www.operagx.gg/degenerocity 
Follow me on these: 
https://x.com/D3generocity
https://www.instagram.com/777degen/
Co-edited:...",588076,2024-10-11,24:36,CA,2024-10-13
49,video,Joker: Folie À Deux Pitch Meeting,Pitch Meeting,"Step inside the Pitch Meeting that led to Joker: Folie À Deux! 

Subscribe for more Pitch Meetings: https://www.youtube.com/channel/UC9Kq-yEt1iYsbUzNOoIRK0g

Joker was kind of a surprise hit...",950601,2024-10-11,5:17,CA,2024-10-13
50,video_listing,Recently trending,,,,,,CA,2024-10-13
