,type,title,description,viewCount,lengthText,isLive,badges,country,date
11,shorts_listing,Shorts,,,,,,NO,2024-10-13
12,video,"Soft Rock Songs 70s 80s 90s Full Album 📀 Michael Bolton, Rod Stewart, Phil Collins, Bee Gees, Lobo","Soft Rock Songs 70s 80s 90s Full Album 📀 Michael Bolton, Rod Stewart, Phil Collins, Bee Gees, Lobo
https://youtu.be/m4MgSl_HOcs
© Follow Soft Rock Melodies
📢 Subscribe to the channel...",1840837,3:03:38,,,NO,2024-10-13
13,video,Tomorrowland Brasil 2024 LIVE,"Prepare for incredible performances at Tomorrowland Brasil 2024, follow the Magic now live. Together with Budweiser and Pragmatic Play.

Timetable
23h50 - 00h50 Timmy Trumpet
22h45 - 23h50...",,LIVE,True,['LIVE'],NO,2024-10-13
14,video,Detroit Lions vs. Dallas Cowboys FULL GAME | NFL 2014 Season Wild Card,"With NFL+, catch all the action and stream live local and primetime games on mobile devices all the way from the regular season through the playoffs. Visit Plus.NFL.com to learn more. Subscribe...",78114,1:54:04,,,NO,2024-10-13
15,video,This mushroom will kill you before you know what’s happening - Michael Beug,"Explore the toxicity of death cap mushrooms, and find out what makes this one species so dangerous to humans.

--

Humans have known about the toxicity of death cap mushrooms for millennia....",286133,5:37,,,NO,2024-10-13
16,video,The Haunting of Casey's Cottage: This one got us!,"Set on the corner shores of Lake Ontario and the Little Salmon River sits a spooky, odd, interesting, and haunted little cabin called, Casey's Cottage.

It is all that remains of Orville Hungerford...",64117,59:46,,,NO,2024-10-13
17,video,Hurricane Milton's destruction in Florida captured in videos,"Downed trees, toppled boats and a dumpster lodged into a home’s roof — these are some of the scenes of destruction in communities that were in the path of Hurricane Milton. The storm crashed...",477186,8:51,,,NO,2024-10-13
18,video,i must rest here a moment,"gandalf
second account
https://www.youtube.com/channel/UCoH2qJSyODQpBKsK63Moc6Q

spotify
https://open.spotify.com/artist/6yzpzyfDYnBHdyWWmEOp1J?si=kwh4lBagROybY_ipxrXDcQ

soundcloud
https://soundcl...",758564,1:00:02,,,NO,2024-10-13
19,video,Viking Age Expert Answers Viking Questions From Twitter | Tech Support | WIRED,"Archaeologist Cat Jarman, a Viking Age specialist, joins WIRED to answer the internet's burning questions about the Vikings. When did the Viking Age begin? How do we know about the Vikings?...",555262,20:39,,,NO,2024-10-13
20,video,12K HDR 120fps Dolby Vision with Calming Music (Colorfully Dynamic),"12K HDR 120fps Dolby Vision with Calming Music (Colorfully Dynamic)

#8K #ANIMALS #COLLECTION
--------------------------------
Embark on an extraordinary visual journey with our ""12K HDR 120fps...",1057598,11:51:29,,,NO,2024-10-13
21,video,Joe Rogan Experience #1691 - Yeonmi Park,"Yeonmi Park is a North Korean Human Rights Activist, and author of “In Order To Live: a North Korean Girl's Journey to Freedom.”",1375121,3:13:44,,,NO,2024-10-13
22,video,REACTING TO PARANORMAL STORIES!!! *fan stories*,"MERCHHH!!!

https://sturnioloclothing.com

Follow us on Instagram : https://www.instagram.com/sturniolo.triplets 
Follow us on TikTok : https://www.tiktok.com/@sturniolo.triplets
Follow us...",590192,29:02,,,NO,2024-10-13
