,type,title,description,viewCount,lengthText,isLive,country,date
10,video,Positive October  ❤  Songs to say hello a new day ❤  | Indie/Pop/Folk/ Playlist - 24/7 Live Radio,"Positive October  ❤  Songs to say hello a new day ❤  | Indie/Pop/Folk/ Playlist - 24/7 Live Radio
Kickstart your October with positivity and uplifting vibes! This 24/7 live radio playlist...",2373,LIVE,True,ES,2024-10-16
11,video,Morning Energy 2024 ☀️Chill Mix,"Start your morning in a warm embrace 🌅 Get some coffee and this playlist full of relaxing chill house tracks will do the rest ☕🌞

🔔Subscribe & hit the bell: https://www.youtube.com/chann...",3821415,2:53:27,,ES,2024-10-16
12,video,"Alternative Rock Greatest Hits 🔥Evanescence, Green Day, Linkin Park, Coldplay, Red Hot Chili Peppers","Alternative Rock Greatest Hits 🔥Evanescence, Green Day, Linkin Park, Coldplay, Red Hot Chili Peppers
https://www.youtube.com/watch?v=pXo8vq_4knc
https://www.youtube.com/watch?v=HprqnyOl_CI...",2704082,1:32:53,,ES,2024-10-16
13,video,"Aerosmith, Nirvana, ACDC, Queen, Bon Jovi, Scorpions, Guns N Roses 🔥 Best Classic Rock Of 70 80s",,271772,1:41:27,,ES,2024-10-16
14,video,Warm Fall Morning Jazz & Cozy Coffee Shop Ambience for Unwind 🍂 Relaxing Jazz Instrumental Music,"Warm Fall Morning Jazz & Cozy Coffee Shop Ambience for Unwind 🍂 Relaxing Jazz Instrumental Music

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register now...",115232,11:54:56,,ES,2024-10-16
15,video,Musica De Los 80 y 90 En Ingles - Clasico De Los 1980 Exitos En Ingles - Retro Mix 1980s En Inglés,"🎶 Enlance: https://youtu.be/rPJ_XtD1Mi0
---------------------------------------------------------------------------------------
💖 Bienvenido al canal de Grandes Éxitos 80s. 
Donde podrás...",1218572,3:01:22,,ES,2024-10-16
16,video,Building a Tiny Office Pod Under My Stairs,"Mr Cool!
Huge thanks to ‪@MrcoolComfort‬  for Sponsoring this video! The DIY Ductless Mini-Split is a great option for homeowners looking for total comfort in their space without the hefty...",4015370,51:47,,ES,2024-10-16
17,video,"Coldplay, Avicii, Chainsmokers, Alok, Kygo, Calvin Harris, Ellie Goulding, Alesso -  Feeling Me","Coldplay, Avicii, Chainsmokers, Alok, Kygo, Calvin Harris, Ellie Goulding, Alesso -  Feeling Me
Coldplay, Avicii, Chainsmokers, Alok, Kygo, Calvin Harris, Ellie Goulding, Alesso -  Feeling...",894,LIVE,True,ES,2024-10-16
18,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8


Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",310284,11:54:57,,ES,2024-10-16
19,video,"Trump’s Mad at “Loser” Jimmy Kimmel Again, Holds a DOOZY of a Town Hall & Attacks Kamala’s Health","Election Day is exactly three weeks from today, Donald Trump just did a podcast with the Nelk Boys where he once again turned the conversation towards Jimmy, last night he held a doozy of a...",898182,14:26,,ES,2024-10-16
20,video,Hits Radio 1 Live Pop Radio' Top Hits 2024 - Pop Music 2024 - New Songs 2024 Best English Songs 2024,Hits Radio 1 - Top Songs 2024 Playlist - Pop Music 2024 - New Songs 2024 - Best Music 2024 - New Popular Songs 2024 - Pop Hits 2024 - Best English Songs 2024 - Best Songs 2024 - Pop Music 2024...,7139,LIVE,True,ES,2024-10-16
21,video,Surah Al Waqiah | Relaxing Quran Recitation For Your Soul | سورة الواقعة | Zikrullah TV,"❱ Become our member: https://www.patreon.com/ZikrullahTV
❱ Donate us: https://bit.ly/3ZKnLzw
❱ Join this channel to get access to perks:
https://www.youtube.com/channel/UCKQkz17Nh6BJZBd0eHhWd...",2506537,3:06:07,,ES,2024-10-16
22,video,"chilling ~ 90's r&b/soul/playlist 🎶 Mary J. Blige, Akon, Nelly, Ne-Yo, Usher","✔️""Step into a world where soulful rhythms and emotive lyrics reign supreme with our dedicated YouTube channel celebrating the rich tapestry of R&B and soul music from the 90s and 2000s....",2325774,1:23:07,,ES,2024-10-16
